                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "6725cf8"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260119"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                star_age                                star_mass                                    log_L                                 log_Teff                                    log_g                                    log_R                              effective_T                                 center_T                               center_Rho                        center_degeneracy                                 log_Lnuc                                 log_Lneu                           power_nuc_burn                             total_energy               total_gravitational_energy                    total_internal_energy                            photosphere_L                            photosphere_r                                     Teff                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                       phase_of_evolution                             model_number                                num_zones                                time_step 
                 7.1892710265067231E-004                  1.0000000000000000E+000                  7.9237982446011102E-002                  3.6366293218819750E+000                  3.8600406106560285E+000                  2.8901350832355238E-001                  4.3314102694900412E+003                  3.9969953545685299E+006                  1.1884121452568541E+000                 -4.1529147806850890E+000                 -5.1441887571103635E+000                 -6.5419552577802085E+000                  7.1748238462168250E-006                 -8.1817625040877299E+047                 -1.6883212763850006E+048                  8.7014502597622761E+047                  1.2001567787027774E+000                  1.9454205911690481E+000                  4.3314102694900412E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4376416318091216E-002                                        2                                       45                                      696                  2.3900531424523004E-005 
                 8.4579401453680316E-004                  1.0000000000000000E+000                  7.9237983958688807E-002                  3.6366293222622454E+000                  3.8600406106644312E+000                  2.8901350831935096E-001                  4.3314102732826477E+003                  3.9969953546430240E+006                  1.1884121453326415E+000                 -4.1529147806490787E+000                 -5.1441887570261393E+000                 -6.5419552576959799E+000                  7.1748238476082562E-006                 -8.1817625042586067E+047                 -1.6883212764188923E+048                  8.7014502599303167E+047                  1.2001567828830064E+000                  1.9454205911502280E+000                  4.3314102732826477E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4381947481573282E-002                                        2                                       50                                      696                  2.6388117932094200E-005 
                 9.8586533651154632E-004                  1.0000000000000000E+000                  7.9237985155723348E-002                  3.6366293225649469E+000                  3.8600406106782033E+000                  2.8901350831246492E-001                  4.3314102763016235E+003                  3.9969953547256268E+006                  1.1884121454164640E+000                 -4.1529147806093425E+000                 -5.1441887569325706E+000                 -6.5419552576024049E+000                  7.1748238491540676E-006                 -8.1817625044487632E+047                 -1.6883212764565530E+048                  8.7014502601167672E+047                  1.2001567861909672E+000                  1.9454205911193818E+000                  4.3314102763016235E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4388075677161362E-002                                        2                                       55                                      696                  2.9134614441402891E-005 
                 1.1405153941827064E-003                  1.0000000000000000E+000                  7.9237986095173935E-002                  3.6366293228040494E+000                  3.8600406106951630E+000                  2.8901350830398503E-001                  4.3314102786862968E+003                  3.9969953548181197E+006                  1.1884121455095704E+000                 -4.1529147805654789E+000                 -5.1441887568282976E+000                 -6.5419552574981257E+000                  7.1748238508767285E-006                 -8.1817625046598463E+047                 -1.6883212764984464E+048                  8.7014502603246181E+047                  1.2001567887871043E+000                  1.9454205910813962E+000                  4.3314102786862968E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4394879251961831E-002                                        2                                       60                                      696                  3.2166968513386423E-005 
                 1.3112615540712071E-003                  1.0000000000000000E+000                  7.9237986885501779E-002                  3.6366293230060411E+000                  3.8600406107128018E+000                  2.8901350829516570E-001                  4.3314102807008503E+003                  3.9969953549213475E+006                  1.1884121456128480E+000                 -4.1529147805170652E+000                 -5.1441887567123121E+000                 -6.5419552573821322E+000                  7.1748238527928830E-006                 -8.1817625048943370E+047                 -1.6883212765450191E+048                  8.7014502605558538E+047                  1.2001567909711461E+000                  1.9454205910418900E+000                  4.3314102807008503E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4402432982441052E-002                                        2                                       65                                      696                  3.5514932432768786E-005 
                 1.4997791114242185E-003                  1.0000000000000000E+000                  7.9237987533255297E-002                  3.6366293231741915E+000                  3.8600406107376490E+000                  2.8901350828274203E-001                  4.3314102823778867E+003                  3.9969953550363192E+006                  1.1884121457272554E+000                 -4.1529147804636581E+000                 -5.1441887565833992E+000                 -6.5419552572532114E+000                  7.1748238549226144E-006                 -8.1817625051545879E+047                 -1.6883212765967246E+048                  8.7014502608126583E+047                  1.2001567927611891E+000                  1.9454205909862383E+000                  4.3314102823778867E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4410823483096817E-002                                        2                                       70                                      696                  3.9211355125965094E-005 
                 1.7079177275638336E-003                  1.0000000000000000E+000                  7.9237987865294637E-002                  3.6366293232634535E+000                  3.8600406107626597E+000                  2.8901350827023664E-001                  4.3314102832681356E+003                  3.9969953551637232E+006                  1.1884121458538450E+000                 -4.1529147804046476E+000                 -5.1441887564408839E+000                 -6.5419552571106871E+000                  7.1748238572770585E-006                 -8.1817625054433363E+047                 -1.6883212766539476E+048                  8.7014502610961398E+047                  1.2001567936787676E+000                  1.9454205909302205E+000                  4.3314102832681356E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4420163702221241E-002                                        2                                       75                                      696                  4.3292504462035978E-005 
                 1.9377195780481964E-003                  1.0000000000000000E+000                  7.9237987931194673E-002                  3.6366293232878655E+000                  3.8600406107944072E+000                  2.8901350825436301E-001                  4.3314102835116091E+003                  3.9969953553048945E+006                  1.1884121459938572E+000                 -4.1529147803394713E+000                 -5.1441887562823165E+000                 -6.5419552569521100E+000                  7.1748238598966866E-006                 -8.1817625057634301E+047                 -1.6883212767175101E+048                  8.7014502614116709E+047                  1.2001567938608799E+000                  1.9454205908591147E+000                  4.3314102835116091E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4430565605343840E-002                                        2                                       80                                      696                  4.7798423098984273E-005 
                 2.1914393897078180E-003                  1.0000000000000000E+000                  7.9237988044300170E-002                  3.6366293233242679E+000                  3.8600406108269101E+000                  2.8901350823811145E-001                  4.3314102838746639E+003                  3.9969953554621045E+006                  1.1884121461490385E+000                 -4.1529147802675155E+000                 -5.1441887561066979E+000                 -6.5419552567764798E+000                  7.1748238627980235E-006                 -8.1817625061183966E+047                 -1.6883212767879283E+048                  8.7014502617608869E+047                  1.2001567941734428E+000                  1.9454205907863158E+000                  4.3314102838746639E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4442193108675613E-002                                        2                                       85                                      696                  5.2773321366819994E-005 
                 2.4715665631527255E-003                  1.0000000000000000E+000                  7.9237988385650548E-002                  3.6366293234194300E+000                  3.8600406108662084E+000                  2.8901350821846233E-001                  4.3314102848237580E+003                  3.9969953556359005E+006                  1.1884121463203543E+000                 -4.1529147801881692E+000                 -5.1441887559123360E+000                 -6.5419552565821064E+000                  7.1748238660090059E-006                 -8.1817625065116985E+047                 -1.6883212768658550E+048                  8.7014502621468514E+047                  1.2001567951167520E+000                  1.9454205906982975E+000                  4.3314102848237580E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4455210335030069E-002                                        2                                       90                                      696                  5.8266011042210346E-005 
