#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
102  0.51470555E+01  0.74029452E+00 -0.72002971E-04 -0.48172850E-06  0.00000000E+00 -0.16801879E-02 -0.66671667E-05  0.00000000E+00
101  0.51276058E+01  0.74988695E+00 -0.10555021E-03 -0.48445902E-06  0.00000000E+00 -0.17857382E-02 -0.71516257E-05  0.00000000E+00
100  0.51081993E+01  0.75920609E+00 -0.20581926E-03 -0.48454519E-06  0.00000000E+00 -0.19915574E-02 -0.76361709E-05  0.00000000E+00
 99  0.50889344E+01  0.76825708E+00 -0.27895011E-03 -0.48206664E-06  0.00000000E+00 -0.22705075E-02 -0.81182376E-05  0.00000000E+00
 98  0.50698897E+01  0.77704737E+00 -0.38820466E-03 -0.47748661E-06  0.00000000E+00 -0.26587122E-02 -0.85957242E-05  0.00000000E+00
 97  0.50511434E+01  0.78558629E+00 -0.56660181E-03 -0.47128269E-06  0.00000000E+00 -0.32253140E-02 -0.90670069E-05  0.00000000E+00
 96  0.50327471E+01  0.79388424E+00 -0.72304046E-03 -0.46326314E-06  0.00000000E+00 -0.39483545E-02 -0.95302700E-05  0.00000000E+00
 95  0.50147286E+01  0.80195188E+00 -0.91936171E-03 -0.45406262E-06  0.00000000E+00 -0.48677162E-02 -0.99843326E-05  0.00000000E+00
 94  0.49971131E+01  0.80980009E+00 -0.11511193E-02 -0.44390486E-06  0.00000000E+00 -0.60188355E-02 -0.10428237E-04  0.00000000E+00
 93  0.49799032E+01  0.81743931E+00 -0.13716738E-02 -0.43249957E-06  0.00000000E+00 -0.73905093E-02 -0.10860737E-04  0.00000000E+00
 92  0.49630916E+01  0.82487940E+00 -0.16234841E-02 -0.42046699E-06  0.00000000E+00 -0.90139934E-02 -0.11281204E-04  0.00000000E+00
 91  0.49466735E+01  0.83212969E+00 -0.19069951E-02 -0.40786884E-06  0.00000000E+00 -0.10920989E-01 -0.11689073E-04  0.00000000E+00
 90  0.49306318E+01  0.83919872E+00 -0.22104926E-02 -0.39454004E-06  0.00000000E+00 -0.13131481E-01 -0.12083613E-04  0.00000000E+00
 89  0.49149435E+01  0.84609418E+00 -0.25516095E-02 -0.38096382E-06  0.00000000E+00 -0.15683091E-01 -0.12464577E-04  0.00000000E+00
 88  0.48995865E+01  0.85282297E+00 -0.29290697E-02 -0.36745159E-06  0.00000000E+00 -0.18612160E-01 -0.12832028E-04  0.00000000E+00
 87  0.48845339E+01  0.85939114E+00 -0.33166785E-02 -0.35402086E-06  0.00000000E+00 -0.21928839E-01 -0.13186049E-04  0.00000000E+00
 86  0.48697516E+01  0.86580378E+00 -0.36816535E-02 -0.34071725E-06  0.00000000E+00 -0.25610492E-01 -0.13526766E-04  0.00000000E+00
 85  0.48552024E+01  0.87206499E+00 -0.39901493E-02 -0.32781449E-06  0.00000000E+00 -0.29600642E-01 -0.13854581E-04  0.00000000E+00
 84  0.48408523E+01  0.87817803E+00 -0.41996962E-02 -0.31567966E-06  0.00000000E+00 -0.33800338E-01 -0.14170261E-04  0.00000000E+00
 83  0.48266672E+01  0.88414529E+00 -0.42560611E-02 -0.30420142E-06  0.00000000E+00 -0.38056399E-01 -0.14474462E-04  0.00000000E+00
 82  0.48126017E+01  0.88996814E+00 -0.41060209E-02 -0.29275517E-06  0.00000000E+00 -0.42162420E-01 -0.14767217E-04  0.00000000E+00
 81  0.47985898E+01  0.89564666E+00 -0.37130251E-02 -0.28038791E-06  0.00000000E+00 -0.45875445E-01 -0.15047605E-04  0.00000000E+00
 80  0.47845406E+01  0.90117922E+00 -0.30628075E-02 -0.26654154E-06  0.00000000E+00 -0.48938253E-01 -0.15314147E-04  0.00000000E+00
 79  0.47703525E+01  0.90656250E+00 -0.21577807E-02 -0.25155570E-06  0.00000000E+00 -0.51096033E-01 -0.15565702E-04  0.00000000E+00
 78  0.47559192E+01  0.91179143E+00 -0.10093442E-02 -0.23525542E-06  0.00000000E+00 -0.52105378E-01 -0.15800958E-04  0.00000000E+00
 77  0.47410906E+01  0.91685872E+00  0.36955209E-03 -0.21654890E-06  0.00000000E+00 -0.51735825E-01 -0.16017507E-04  0.00000000E+00
 76  0.47256478E+01  0.92175394E+00  0.19618212E-02 -0.19527303E-06  0.00000000E+00 -0.49774004E-01 -0.16212780E-04  0.00000000E+00
 75  0.47093257E+01  0.92646320E+00  0.37306290E-02 -0.17246237E-06  0.00000000E+00 -0.46043375E-01 -0.16385242E-04  0.00000000E+00
 74  0.46917544E+01  0.93096799E+00  0.48920801E-02 -0.31120632E-03  0.00000000E+00 -0.41151295E-01 -0.32759156E-03  0.00000000E+00
 73  0.46737075E+01  0.93526166E+00  0.52085315E-02 -0.52299609E-03  0.00000000E+00 -0.35942764E-01 -0.85058764E-03  0.00000000E+00
 72  0.46557931E+01  0.93934660E+00  0.50884308E-02 -0.57428705E-03  0.00000000E+00 -0.30854333E-01 -0.14248747E-02  0.00000000E+00
 71  0.46380660E+01  0.94322726E+00  0.47323587E-02 -0.56530365E-03  0.00000000E+00 -0.26121974E-01 -0.19901783E-02  0.00000000E+00
 70  0.46203696E+01  0.94690856E+00  0.42814906E-02 -0.51725833E-03  0.00000000E+00 -0.21840484E-01 -0.25074367E-02  0.00000000E+00
 69  0.46024548E+01  0.95039508E+00  0.38105613E-02 -0.44273099E-03  0.00000000E+00 -0.18029922E-01 -0.29501677E-02  0.00000000E+00
 68  0.45842236E+01  0.95369211E+00  0.33363005E-02 -0.35022766E-03  0.00000000E+00 -0.14693622E-01 -0.33003953E-02  0.00000000E+00
 67  0.45658859E+01  0.95680701E+00  0.28773868E-02 -0.23881626E-03  0.00000000E+00 -0.11816235E-01 -0.35392116E-02  0.00000000E+00
 66  0.45478012E+01  0.95974882E+00  0.24990135E-02 -0.75389253E-04  0.00000000E+00 -0.93172215E-02 -0.36146008E-02  0.00000000E+00
 65  0.45302490E+01  0.96252681E+00  0.21709331E-02 -0.76560622E-07  0.00000000E+00 -0.71462884E-02 -0.36146774E-02  0.00000000E+00
 64  0.45132448E+01  0.96514855E+00  0.19112287E-02 -0.71251956E-07  0.00000000E+00 -0.52350597E-02 -0.36147487E-02  0.00000000E+00
 63  0.44967086E+01  0.96761978E+00  0.17333518E-02 -0.65883831E-07  0.00000000E+00 -0.35017079E-02 -0.36148145E-02  0.00000000E+00
 62  0.44805440E+01  0.96994490E+00  0.16203099E-02 -0.60638923E-07  0.00000000E+00 -0.18813980E-02 -0.36148752E-02  0.00000000E+00
 61  0.44646379E+01  0.97212723E+00  0.15571292E-02 -0.55730136E-07  0.00000000E+00 -0.32426882E-03 -0.36149309E-02  0.00000000E+00
 60  0.44488652E+01  0.97416931E+00  0.15359410E-02 -0.51271089E-07  0.00000000E+00  0.12116722E-02 -0.36149822E-02  0.00000000E+00
